$\beta_{c||}$,$v_t/c$,$n_{spec}$,$\alpha_c$,$\tau_b$,$\alpha_b$,$D_b$,$vv_b$,$vv_e$,case,$k_\perp$,$k_{||}$,$\omega_r / \Omega_p$,$\gamma / \Omega_p$,$P_1$,$P_2$,$P_3$,$P_4$,$P_5$,$Re(E_x)$,$Im(E_x)$,$Re(E_y)$,$Im(E_y)$,$Re(E_z)$,$Im(E_z)$,$Re(B_x)$,$Im(B_x)$,$Re(B_y)$,$Im(B_y)$,$Re(B_z)$,$Im(B_z)$
0.92807686,0.00013967279,3,0.9669897,0.73075581,0.57387376,0.064540498,0.92856109,0.056296814,,,,,,,,,,,,,,,,,,,,,,
2.3147304,0.00014440088,3,0.51123196,1.2520344,1.3879317,0.076211244,1.4219435,0.10069686,,,,,,,,,,,,,,,,,,,,,,
0.89551955,0.0001356344,3,1.72218,2.2740223,1.76519,0.079744913,1.0799862,0.079762973,,,,,,,,,,,,,,,,,,,,,,
0.30927622,0.00011622602,3,1.6038566,0.73559314,0.77889383,0.18517245,0.65324879,0.1020639,,,,,,,,,,,,,,,,,,,,,,
0.50676101,0.00012731414,3,1.9784242,0.76163411,0.83562064,0.10546784,0.62623948,0.059747733,,,,,,,,,,,,,,,,,,,,,,
0.82590663,0.00013330719,3,1.5839318,0.6263774,0.94139826,0.07760454,0.98364991,0.070837863,,,,,,,,,,,,,,,,,,,,,,
1.0612204,0.00015961552,3,0.84295076,1.7154039,1.9588822,0.10087886,1.0525264,0.096448019,,,,,,,,,,,,,,,,,,,,,,
2.0763311,0.00016227031,3,0.9090066,1.2253126,1.2966254,0.058809839,1.0449498,0.05803971,,,,,,,,,,,,,,,,,,,,,,
0.22017311,8.2124927e-05,3,4.5908422,0.46221119,1.0431451,0.15426512,0.71094859,0.095015965,,,,,,,,,,,,,,,,,,,,,,
0.67471009,0.0001267169,3,1.8347381,0.84594131,0.90544325,0.089289121,0.80749434,0.066191405,,,,,,,,,,,,,,,,,,,,,,
1.0567206,0.00014844978,3,0.86693251,0.88732618,0.79395032,0.091878586,0.83711296,0.070440255,,,,,,,,,,,,,,,,,,,,,,
